NODE_KEY,BP_ROLE,EMAIL_ADDRESS
74867AD200E41EDBA5D8B06885A56052,1,customer-do.not.reply@sap.com
74867AD200E41EDBA5D8B06885A58052,1,customer-dagmar.schulze@beckerberlin.de
74867AD200E41EDBA5D8B06885A5A052,1,customer-maria.brown@delbont.com
74867AD200E41EDBA5D8B06885A5C052,1,customer-saskia.sommer@talpa-hannover.de
74867AD200E41EDBA5D8B06885A5E052,1,customer-bob.buyer@panorama-studios.biz
74867AD200E41EDBA5D8B06885A60052,1,customer-bart.koenig@tecum-ag.de
74867AD200E41EDBA5D8B06885A62052,1,customer-yoko.nakamura@asia-ht.com
74867AD200E41EDBA5D8B06885A64052,1,customer-sophie.ribery@laurent-paris.com
74867AD200E41EDBA5D8B06885A66052,1,customer-victor.sanchez@avantel.com
74867AD200E41EDBA5D8B06885A68052,1,customer-jorge.velez@telecomstar.com
